Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7
0.6723058214506414,4.1894827084985735,1.1057850384964016,-0.745283680204536,-0.7136701525339734,3.7959730472109268,-1.9466192671283091
7.514048515495117,10.063599906703498,-1.519702193641479,5.3375068140712925,-0.6250711261909714,1.8123900116359293,9.316742742272089
-8.30220517203785,-8.408587285289503,-9.81000563722156,7.940123234906618,6.038438043857602,7.001291025955396,9.36833103839714
8.641310934179756,9.251208484168439,-3.3450920991800572,6.961083718709279,-0.6026206901098423,0.9443583133351018,9.842754040991185
1.6557757042481207,3.849034769101001,1.6596140396019803,1.1777853772681095,-1.0382458784440125,2.9756810001871785,-1.1309930439990743
-0.6007622069645568,3.026254184796449,2.5440564807904935,0.45581114005545925,-1.221483578257251,1.403238502706294,-3.8009968400961425
8.160245132709326,8.761985909101426,-3.1317848620765103,6.509558218806474,1.4129805003055287,2.8463665643521603,10.031371382915898
0.3466281694574824,3.831528923273671,0.5419064841827865,2.0052883380128677,-1.350665260905779,1.9775287191177493,-0.3186614463529549
1.5100002021717418,5.479480476828574,3.0452096637907307,3.37491052947473,-1.8243273840598704,4.662318174587313,-3.105788005403954
-7.787602754204667,-7.992852558211967,-9.734749446129527,5.82463899130532,5.926705672195275,6.158527623591635,10.264363959478251
-7.734005918128981,-8.969847919009643,-8.991043881663959,6.647136318344939,6.060104864088719,7.094490650113056,9.657457202844533
7.299814814136167,9.429201511940807,-1.8759853580213264,6.715881506350794,-0.9930253658290515,2.263900383733918,8.555889334185595
-9.253956562149293,-8.26939984783879,-9.729812981333469,6.343195980282586,6.0904576788885745,8.895539142078471,9.145769461525099
-8.887933873996573,-9.447930494024229,-10.490872604190061,6.19177068585589,5.462853928217095,7.25381714236286,12.319350365150852
-1.0891120419028701,3.6395168394756037,0.9080914854236843,2.006583388045015,-2.545547435745047,2.671859873066161,-0.24105185453906386
-7.555998656044143,-7.918218606706323,-8.241155894803699,7.817349189705891,5.159868162871184,6.041940869200701,10.075857340802122
8.065830110335547,8.895901235583166,-3.56089298733235,6.522059935593329,-1.3869561355531659,0.15774072050780408,9.03448933911196
7.200108408986927,8.648283981667273,-3.686528897995494,6.355291598219557,-0.5610618834576795,1.6638853876763424,8.781447697390359
0.3555739295883613,5.19954218732455,1.011498595382824,-0.56115004725298,0.09361699048145189,3.901456989622609,-1.7528878946731752
0.9380790850723242,5.2359977657468555,1.525087306107749,1.402225455314447,-2.1752544135611824,3.9713045498011295,-0.6211797285143091
1.8031758660956836,5.19512853339814,0.9791345550283879,-0.01942109236103573,-2.3433849820584283,3.401048881048281,-1.15670395507703
8.165017278766516,9.074179827333683,-3.058000984228578,4.773883500436204,0.21717747369491125,1.9386672963858467,8.821528640439627
-7.346112740781569,-8.043357732670103,-11.627226335524291,5.787065722734755,6.637647355321062,6.28615977359247,11.56532335952541
-6.640902293422189,-8.763294940041696,-9.97171714231514,6.573546190557684,5.605667651426444,9.797440199038466,9.4359908281403
7.614765966675333,9.655077744744426,-1.6256254490952782,5.554995970912821,1.333041514197519,1.5206055855829668,8.81862657533551
1.4897608821972317,3.322355588270092,3.78016087596788,0.11037755640687075,-0.38626287985370156,2.5077049504557216,0.049358437643093556
