BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
0.002147794538759056,0.818182,0.0019453677917648953,0.0,0.004240000000000001,0.0,0.166667,0.0,0.083333,0.0,0.0,0.00558659217877095,0.0317195325542571,0.003978631353655269,0.0018258959779345425,0.0,1.0
0.16816909701674723,0.909091,0.0,0.0,0.0,0.13668490864085,0.0,0.0,0.0,0.16666666666666666,0.032520325203252036,0.0,0.2320534223706177,0.08089338728282808,0.01403472638946653,0.222222,1.0
0.13102613595644605,1.0,0.015766247542545745,0.018968260296237233,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0335195530726257,0.24874791318864775,0.012264364146940043,0.008209866807429262,0.0,1.0
0.08752079058547796,0.636364,0.030567152199744003,0.0367751234321813,0.0,0.004365723158335575,0.083333,0.083333,0.0,0.05555533333333333,0.008130081300813009,0.002793296089385475,0.24874791318864775,0.0,0.0,0.0,1.0
0.042940103199039056,1.0,0.00032626713488719417,0.00039252966972308257,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,0.002793296089385475,0.03839732888146912,0.013373716974826266,0.0032038134720392152,0.0,1.0
0.09503836488390284,1.0,0.02718784035014989,0.0,0.059256888888888894,0.0,0.666667,0.0,0.583333,0.0,0.0,0.0223463687150838,0.05843071786310518,0.027602855383052818,0.031505896093192196,0.0,1.0
0.03293894039701826,1.0,0.14459771975977767,0.15707638995369377,0.03059466666666667,0.0,1.0,1.0,1.0,0.0,0.0,0.1787709497206704,0.4490818030050084,0.1252785586513651,0.002592274900545934,1.0,1.0
0.09576429522130202,1.0,0.008894857764862131,0.0,0.019386666666666667,0.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.07512520868113524,0.013388115587635288,0.006963229916374733,0.0,1.0
0.05329617645758494,1.0,0.017567242127123055,0.016228403201570117,0.008888888888888889,0.0,0.333333,0.083333,0.25,0.0,0.0,0.013966480446927375,0.2320534223706177,0.013569764178915762,0.004082958952233572,0.0,1.0
0.007993744020733525,0.545455,0.02613399750446425,0.03144162654481891,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,0.008379888268156424,0.36560934891485813,0.022964048246241982,0.001312750171165674,0.0,1.0
0.06790503229946566,1.0,0.018762807259525317,0.0,0.04089422222222223,0.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.03839732888146912,0.021357833707488005,0.02843614197748628,0.0,1.0
0.03312451579410238,0.818182,0.03042808083349834,0.03660780766046184,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.01675977653631285,0.06510851419031721,0.013911632315478872,0.002035817167856207,0.0,1.0
0.07965749003088701,1.0,0.06562027358722762,0.06133840350823392,0.03190044444444445,0.0,1.0,0.25,0.916667,0.0,0.0,0.07262569832402235,0.0984974958263773,0.011992229893648758,0.006415800874185308,0.25,1.0
0.04840028685901659,1.0,0.04359601848058619,0.010302922506056609,0.07635422222222223,0.0,0.75,0.166667,0.75,0.0,0.0,0.07262569832402235,0.24874791318864775,0.03264674700554735,0.0032868793538046296,0.083333,1.0
0.1456048185157983,1.0,0.0,0.0,0.0,0.007357486305422492,0.0,0.0,0.0,0.05555533333333333,0.008130081300813009,0.0,0.0984974958263773,0.015883762079311553,0.012956576410900495,0.0,1.0
0.36161125485188933,1.0,0.03286529633110568,0.0,0.07163111111111112,0.048825358587565294,0.5,0.0,0.5,0.11111133333333334,0.032520325203252036,0.030726256983240226,0.26544240400667785,0.039301675442955736,0.02761433342242138,0.0,1.0
0.1088094983645385,0.875,0.0,0.0,0.0,0.059067445846737544,0.0,0.0,0.0,0.16666666666666666,0.024390243902439025,0.0,0.0984974958263773,0.007727979073835982,0.0049286523074898985,0.0,0.33333333333333326
0.0021577057201226397,0.454545,0.010583290187903362,0.0,0.02306666666666667,0.0,0.416667,0.0,0.333333,0.0,0.0,0.0223463687150838,0.08180300500834727,0.005019385182271215,0.00095807949872186,0.25,1.0
0.1044508614865637,1.0,0.010284551842522274,0.004072495323376982,0.01503777777777778,0.0,0.666667,0.083333,0.583333,0.0,0.0,0.025139664804469275,0.43238731218697835,0.03392718940781388,0.0097454568047379,0.0,1.0
0.1878876699724019,1.0,0.008128945665714442,0.0,0.017717333333333335,0.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.13188647746243742,0.02077976419812656,0.16314838525046585,0.0,1.0
